Instruction sel_mem str_data ldr_data byte
lsl_r_r_imm_s 0 0 0 0
lsr_r_r_imm_s 0 0 0 0
asr_r_r_imm_s 0 0 0 0
add_r_r_r_s 0 0 0 0
add_r_r_imm_s 0 0 0 0
sub_r_r_r_s 0 0 0 0
sub_r_r_imm_s 0 0 0 0
mov_r_imm_s 0 0 0 0
add_r_imm_s 0 0 0 0
sub_r_imm_s 0 0 0 0
and_r_r_s 0 0 0 0
eor_r_r_s 0 0 0 0
lsl_r_r_s 0 0 0 0
lsr_r_r_s 0 0 0 0
asr_r_r_s 0 0 0 0
ror_r_r_s 0 0 0 0
neg_r_r_s 0 0 0 0
orr_r_r_s 0 0 0 0
mvn_r_r_s 0 0 0 0
strb_r_r_r_s 1 1 0 1
ldrb_r_r_r_s 1 0 1 1
strh_r_r_r_s 1 1 0 0
ldrh_r_r_r_s 1 0 1 0
strb_r_r_imm_s 1 1 0 1
ldrb_r_r_imm_s 1 0 1 1
strh_r_r_imm_s 1 1 0 0
ldrh_r_r_imm_s 1 0 1 0
b_cond_s 0 0 0 0
b_incond_s 0 0 0 0
bl_msb_s 0 0 0 0
bl_lsb_s 0 0 0 0
